Order,Card Title,Labels,Member,Description
1,"Unified Lead/Contact API Foundation","Backend, Phase 1, P0, CRM","HM","Build the tenant-scoped API foundation for lead/contact records used by the revenue workflow. Covers create, detail, update, soft delete, validation, clinic scoping, tags, source, status, treatment interest, owner, value, last activity, and audit/event entries."
2,"Lead Inbox Search, Filters, And Pagination","Backend, Phase 1, P0, CRM","HM","Build real list behaviour for the lead/contact inbox. Supports pagination, total count, search, status/tag/treatment/owner filters, sorting, soft-delete exclusion, clinic scoping, and frontend-compatible response shape."
3,"Duplicate Detection On Lead/Contact Create","Backend, Phase 1, P0, CRM","HM","Detect likely duplicate lead/contact records during manual creation without silently overwriting existing data. Match by normalized email, phone, and optional name similarity within the authenticated clinic."
4,"Spreadsheet Lead/Contact Import","Backend, Phase 1, P1, CRM","HM","Build CSV import for lead/contact records during onboarding. Supports create_only/upsert, row-level validation errors, duplicate detection, import batch history, totals, inserted/updated/duplicate/error counts, and clinic scoping."
5,"Pipeline Stages API","Backend, Phase 1, P0, Pipeline","HM","Persist standard conversion pipeline stages instead of mock stage data. Supports default stages, ordering, active/inactive states, limited edits, deletion protection, clinic scoping, and frontend settings needs."
6,"Pipeline Opportunities And Stage Movement API","Backend, Phase 1, P0, Pipeline","HM","Create real pipeline opportunity records tied to lead/contact records and persist stage movement events for reporting. Supports value, source, treatment, stage, owner, lost reason, booked consult date, sold revenue, practitioner, and clinic scoping."
7,"Consult Appointment API Foundation","Backend, Phase 1, P0, Appointments","HM","Build the backend foundation for consult appointments used by conversion and revenue reporting. Supports date ranges, lead/contact links, practitioner, treatment interest, source, value, statuses, clinic scoping, and event/audit entries."
8,"Website Form Capture And Attribution Baseline","Backend, Phase 1, P0, Attribution, CRM","HM","Capture website and landing page enquiries as lead/contact records. Store source, campaign, landing page, treatment interest, and UTM fields where available. Use existing forms/webhooks/contacts/campaigns patterns and keep it clinic-scoped."
9,"Communications Thread Detail API","Backend, Phase 1, P0, Communications","HM","Turn the current communications inbox into usable conversation detail. Add ordered SMS/email/internal-note history for a contact or conversation, link messages to lead/contact records, and keep existing inbox behaviour working."
10,"Message Templates And Quick Replies Polish","Backend, Phase 1, P1, Communications, Automation","HM","Make message templates usable for quick replies, missed-call text-back, and follow-up sequences. Support SMS/email templates, active/draft/archived status, simple placeholders, validation, filtering, and clinic scoping."
11,"Missed-Call Text-Back And Follow-Up Automation","Backend, Phase 1, P0, Communications, Automation, Twilio","HM","Create the missed-call recovery workflow. Identify missed calls, trigger/queue an SMS follow-up from a configured template, link it to the call and contact, prevent duplicate sends, track status/failures, and show it in communications history."
12,"Deposit Payment Links And Payment Tracking","Backend, Phase 1, P0, Payments, Stripe","HM","Support consultation/treatment deposit collection using the existing billing and deposits modules. Create Stripe payment links/sessions, link payments to contact/consult/treatment/practitioner, track statuses, and update records from Stripe webhooks."
13,"Appointment Availability And Double-Booking Rules","Backend, Phase 1, P1, Appointments","HM","Add minimum scheduling rules for Phase 1 without becoming a full diary replacement. Store basic practitioner availability, prevent obvious double bookings, persist status changes, support reminder metadata, and audit important changes."
14,"Revenue And ROI Reporting Data Foundation","Backend, Phase 1, P0, Reporting, Attribution","HM","Make reporting pull from real lead, consult, spend, deposit, and treatment data. Support date ranges, lead count, booked/attended/sold consults, revenue, deposits, spend, CPL, cost per booked consult, basic ROI, and exact/manual/estimated/unknown labels."
15,"Internal Client Account Profiles","Backend, Phase 1, P0, Internal OS","HM","Add the backend foundation for Clinic Grower's internal client/account management layer. Store account manager, services used, onboarding status, health, churn risk, renewal date, contract status, and notes with internal/admin-only access."
16,"Internal Service And Contract Tracking","Backend, Phase 1, P1, Internal OS","HM","Track which Clinic Grower services each client has and their commercial state. Supports PPC, SEO, GBP, website, landing pages, CRO, strategy, status, dates, owner, recurring value where relevant, contract status, archive, and audit."
17,"Internal Delivery Task Boards","Backend, Phase 1, P0, Internal OS, Tasks","HM","Support repeatable delivery task boards for SEO, PPC, GBP, website, and strategy workflows using the existing tasks module where possible. Track board/category, client/account, service type, assigned user, due date, priority, status, proof reference, and overdue/completed state."
18,"Internal QA And Approval Workflow","Backend, Phase 1, P1, Internal OS, QA","HM","Add lightweight QA and approval tracking for internal delivery work. Support checklist items, approval status, reviewer, completion proof, missed-task flag, escalation flag, freelancer/team score where relevant, and audit history."
19,"Internal Strategy Logs And Meeting Notes","Backend, Phase 1, P1, Internal OS, Reporting","HM","Store strategy notes and review-meeting context for Clinic Grower clients. Link logs to client/account profile and support month, owner, log type, SEO/PPC/landing page plans, KPI notes, decisions, next actions, permissions, and audit."
20,"SOP And Prompt Library Polish","Backend, Phase 1, P1, Internal OS, SOPs","HM","Make the existing SOP backend usable as an internal knowledge base. Support category, owner, status, content, search, updated date, AI prompt library categories where needed, internal access control, and audit."
