List,Card Title,Labels,Description
"Sprint 0 - Setup","BE-001 - Backend framework, environments, and project baseline","Backend, Phase 1, P0","Confirm framework and module structure. Add health endpoint, env config, request logging, validation, error middleware, and setup README. Acceptance: backend boots locally and Michael can run it."
"Sprint 0 - Setup","BE-002 - PostgreSQL and Prisma schema v1","Backend, Phase 1, P0, Multi-tenant","Create the internal CRM schema draft. Add account-scoped base columns, indexes, db.sql, and demo seed. Acceptance: fresh database import and seed run cleanly."
"Sprint 0 - Setup","BE-003 - Event model and logging standard","Backend, Phase 1, P0, Events","Create shared events table and event logging service for leads, calls, consults, revenue, insights, and audits. Acceptance: all events include clinic scope and structured payload."
"Sprint 1 - Auth and Tenancy","BE-004 - Auth endpoints and session model","Backend, Phase 1, P0, Security","Build register, login, logout, and me endpoints. Add session expiry and consistent auth errors. Acceptance: user can register/login and frontend receives session data."
"Sprint 1 - Auth and Tenancy","BE-005 - Clinics, user memberships, roles, and invites","Backend, Phase 1, P0, Multi-tenant, Security","Build clinics, memberships, invites, role changes, and removals. Acceptance: owner can invite team and users only see their clinics."
"Sprint 1 - Auth and Tenancy","BE-006 - Tenant middleware and permission middleware","Backend, Phase 1, P0, Multi-tenant, Security","Resolve active clinic per request, reject cross-clinic access, enforce permissions, add super admin rules. Acceptance: cross-clinic access fails closed."
"Sprint 1 - Auth and Tenancy","BE-007 - Audit log service","Backend, Phase 1, P1, Events, Security","Create audit logs for role changes, invites, removals, clinic setting changes, and security actions. Acceptance: clinic-scoped audit feed works."
"Sprint 2 - Onboarding and Treatments","BE-008 - Onboarding status and partial-save endpoints","Backend, Phase 1, P0, Multi-tenant","Build onboarding status and save endpoints. Return completion percentage and validate required fields. Acceptance: onboarding can be resumed and completed."
"Sprint 2 - Onboarding and Treatments","BE-009 - Staff and practitioner profiles","Backend, Phase 1, P0","Build staff/practitioner models and CRUD. Link to users where relevant. Acceptance: practitioners are selectable for consults and reporting."
"Sprint 2 - Onboarding and Treatments","BE-010 - Treatment categories and treatments API","Backend, Phase 1, P0, Reporting","Seed standard treatment categories and build treatment CRUD with price, margin, priority, and high-ticket fields. Acceptance: treatments drive revenue estimates."
"Sprint 2 - Onboarding and Treatments","BE-011 - Default clinic setup automation","Backend, Phase 1, P0, Events","Create default pipeline stages, call outcomes, consult outcomes, SLA settings, and reputation settings after onboarding. Acceptance: new clinic is usable immediately."
"Sprint 3 - Leads and Inbox","BE-012 - Lead CRUD, filters, and search","Backend, Phase 1, P0, Multi-tenant","Build lead model and CRUD with filters, search, pagination, and tenant isolation. Acceptance: manual leads appear in inbox and filters are fast."
"Sprint 3 - Leads and Inbox","BE-013 - Lead notes, tags, timeline, and events","Backend, Phase 1, P0, Events","Build notes, tags, assignment changes, and combined timeline from notes/events. Acceptance: lead detail drawer has accurate activity."
"Sprint 3 - Leads and Inbox","BE-014 - Website form webhook and UTM capture","Backend, Phase 1, P0, Integrations, Events","Build website form webhook with source, campaign, UTM, gclid, and fbclid capture. Acceptance: webhook creates lead in correct clinic."
